,precision,recall,f1-score,support
Bone,1.0,0.6,0.75,5.0
Comma,1.0,1.0,1.0,5.0
Glas,1.0,1.0,1.0,5.0
HCircle,0.6666666666666666,0.8,0.7272727272727273,5.0
Heart,1.0,0.8,0.8888888888888888,5.0
Misk,0.6666666666666666,0.4,0.5,5.0
apple,0.7142857142857143,1.0,0.8333333333333334,5.0
bat,0.6,0.6,0.6,5.0
beetle,0.75,0.6,0.6666666666666666,5.0
bell,1.0,1.0,1.0,5.0
bird,0.5714285714285714,0.8,0.6666666666666666,5.0
bottle,1.0,1.0,1.0,5.0
brick,1.0,1.0,1.0,5.0
butterfly,0.6,0.6,0.6,5.0
camel,0.2857142857142857,0.4,0.3333333333333333,5.0
car,1.0,1.0,1.0,5.0
carriage,0.8333333333333334,1.0,0.9090909090909091,5.0
cattle,0.75,0.6,0.6666666666666666,5.0
cellular_phone,0.7142857142857143,1.0,0.8333333333333334,5.0
chicken,0.25,0.2,0.2222222222222222,5.0
children,0.8333333333333334,1.0,0.9090909090909091,5.0
chopper,1.0,1.0,1.0,5.0
classic,0.2857142857142857,0.4,0.3333333333333333,5.0
crown,1.0,1.0,1.0,5.0
cup,0.7142857142857143,1.0,0.8333333333333334,5.0
deer,0.6666666666666666,0.8,0.7272727272727273,5.0
device0,1.0,1.0,1.0,5.0
device1,0.8333333333333334,1.0,0.9090909090909091,5.0
device2,0.8,0.8,0.8,5.0
device3,1.0,0.6,0.75,5.0
device4,0.75,0.6,0.6666666666666666,5.0
device5,0.4,0.8,0.5333333333333333,5.0
device6,0.7142857142857143,1.0,0.8333333333333334,5.0
device7,1.0,1.0,1.0,5.0
device8,0.6666666666666666,0.8,0.7272727272727273,5.0
device9,0.5,0.4,0.4444444444444444,5.0
dog,0.5714285714285714,0.8,0.6666666666666666,5.0
elephant,1.0,0.2,0.3333333333333333,5.0
face,1.0,1.0,1.0,5.0
fish,0.5,0.8,0.6153846153846154,5.0
flatfish,0.8333333333333334,1.0,0.9090909090909091,5.0
fly,0.4,0.4,0.4,5.0
fork,0.5714285714285714,0.8,0.6666666666666666,5.0
fountain,0.8333333333333334,1.0,0.9090909090909091,5.0
frog,1.0,1.0,1.0,5.0
guitar,1.0,0.6,0.75,5.0
hammer,0.75,0.6,0.6666666666666666,5.0
hat,1.0,1.0,1.0,5.0
horse,0.25,0.4,0.3076923076923077,5.0
horseshoe,0.5,0.4,0.4444444444444444,5.0
jar,0.5,0.2,0.2857142857142857,5.0
key,1.0,1.0,1.0,5.0
lizzard,1.0,0.4,0.5714285714285714,5.0
lmfish,0.3333333333333333,0.2,0.25,5.0
octopus,0.75,0.6,0.6666666666666666,5.0
pencil,0.5714285714285714,0.8,0.6666666666666666,5.0
personal_car,1.0,0.4,0.5714285714285714,5.0
pocket,1.0,1.0,1.0,5.0
rat,1.0,1.0,1.0,5.0
ray,1.0,0.6,0.75,5.0
sea_snake,0.8,0.8,0.8,5.0
shoe,0.625,1.0,0.7692307692307693,5.0
spoon,0.3333333333333333,0.2,0.25,5.0
spring,0.8,0.8,0.8,5.0
stef,1.0,1.0,1.0,5.0
teddy,1.0,1.0,1.0,5.0
tree,0.6666666666666666,0.4,0.5,5.0
truck,1.0,1.0,1.0,5.0
turtle,0.5,0.4,0.4444444444444444,5.0
watch,1.0,0.4,0.5714285714285714,5.0
accuracy,0.74,0.74,0.74,0.74
macro avg,0.7665136054421768,0.74,0.7318670218670218,350.0
weighted avg,0.766513605442177,0.74,0.7318670218670218,350.0
